Feature,Ridge_L2,Lasso_L1,Elastic_Net,Selected_by_Lasso
StudentID,0.0016893094478032799,0.0,0.0,False
Gender,-0.0017335281462883996,-0.0,-0.0,False
City,0.000349889493843079,0.0,0.0,False
CollegeTier,-0.00850255658049491,-0.0,-0.003140449013359373,False
Stream,-0.002330331081650721,-0.0,-0.0007413122193613323,False
Specialisation,-0.0016544118398955454,-0.0,-0.0,False
Hostel,0.0012624337128335768,0.0,0.0,False
HistoryOfBacklogs,-0.09180071823344467,-0.04397496281621068,-0.06825267603532453,True
SGPA_Sem1,-0.023162870261305264,-0.0,-0.0,False
SGPA_Sem2,-0.0258369133839041,-0.0,-0.0,False
SGPA_Sem3,-0.009557210213598628,-0.0,-0.0,False
SGPA_Sem4,-0.0053864132437302925,-0.0,-0.0,False
SGPA_Sem5,0.007786511887646552,-0.0,-0.0,False
SGPA_Sem6,0.017920193967005373,-0.0,-0.0,False
SGPA_Sem7,0.014007261838680616,-0.0,-0.0,False
SGPA_Sem8,0.028713056031766986,-0.0,-0.0,False
CGPA,-0.11056075376457375,-0.011898082474550415,-0.050416689323238596,True
AttendancePercent,0.007826286454619,0.003094542933649086,0.005848292022526609,True
Internships,0.019351296592050107,0.014044082599332316,0.016265248309272458,True
Projects,0.018920527036365875,0.01244553829351639,0.014805955693271837,True
Workshops,-0.005645836113596297,0.0,0.0,False
Certifications,0.001516142684595641,0.004366500099395432,0.0035034947415847097,True
Publications,-0.0186072784393307,-0.0,-0.0011199839873848433,False
AptitudeTestScore,0.03348248897846511,0.02091376456917385,0.026728976857329858,True
SoftSkillsRating,0.017529758156054794,0.028910007292305136,0.02524657608422365,True
CodingTestScore,0.026247024829585526,0.0,0.009546897201864454,False
MockInterviewScore,0.007065087835714852,0.023151337275674165,0.016780591745274312,True
ExtraCurricular,-0.04073182182816915,-0.014997056557186023,-0.025982309604273474,True
CGPA_Tier,0.29079748429478136,0.23670885916135212,0.2546155819524246,True
Salary Package,0.523327418449279,0.4117955679634985,0.44878440743252773,True
IsAnomaly,-0.0020928904620180215,-0.0,-0.0,False
