Feature,Importance
numeric__CGPA,0.16420160734205663
numeric__Salary Package,0.10815471395783555
numeric__SGPA_Sem7,0.10035268740879491
numeric__SGPA_Sem6,0.0926102179599485
numeric__SGPA_Sem5,0.0839277144904086
numeric__SGPA_Sem4,0.07580315970618282
numeric__SGPA_Sem8,0.06909267563577379
numeric__SGPA_Sem2,0.06826351829710535
numeric__SGPA_Sem1,0.05861693045547844
numeric__SGPA_Sem3,0.05153750769319749
numeric__AttendancePercent,0.026716799075868828
numeric__PlacementStatus,0.022381432545810733
numeric__IsAnomaly,0.015503251595127637
numeric__AptitudeTestScore,0.010705447947828451
numeric__CodingTestScore,0.010103962525015522
numeric__SoftSkillsRating,0.00899575679990957
numeric__Internships,0.007934247606676914
numeric__StudentID,0.004857188404961531
categorical__City_Bangalore,0.0043910054968947275
numeric__Projects,0.003876017132271507
categorical__Specialisation_Embedded,0.0034843702397281146
categorical__City_Jaipur,0.0026895850769957904
categorical__Stream_EE,0.0024279954591693662
categorical__HistoryOfBacklogs_No,0.001312272955787022
numeric__Certifications,0.0008234397545291921
numeric__ExtraCurricular,0.0006570617695419972
categorical__City_Pune,0.0005794326671009982
categorical__Stream_Civil,0.0
categorical__Stream_ECE,0.0
categorical__Stream_IT,0.0
categorical__Hostel_No,0.0
categorical__Stream_Mechanical,0.0
categorical__Specialisation_AI,0.0
categorical__Specialisation_DataScience,0.0
categorical__Specialisation_Networking,0.0
categorical__CollegeTier_Tier3,0.0
categorical__Hostel_Yes,0.0
categorical__Stream_CS,0.0
categorical__City_Ahmedabad,0.0
categorical__CollegeTier_Tier2,0.0
categorical__CollegeTier_Tier1,0.0
categorical__City_Mumbai,0.0
categorical__City_Kolkata,0.0
categorical__City_Kochi,0.0
categorical__City_Hyderabad,0.0
categorical__City_Delhi,0.0
categorical__City_Chennai,0.0
categorical__Gender_Male,0.0
categorical__Gender_Female,0.0
numeric__MockInterviewScore,0.0
numeric__Publications,0.0
numeric__Workshops,0.0
categorical__HistoryOfBacklogs_Yes,0.0
