Feature,Importance
numeric__SGPA_Sem8,0.6854190060416805
numeric__MockInterviewScore,0.10049657738036298
numeric__Projects,0.07798981599458245
categorical__HistoryOfBacklogs_No,0.03160471243375991
numeric__Internships,0.026075073692402383
numeric__SoftSkillsRating,0.02548327337514553
numeric__SGPA_Sem5,0.019501529090244222
numeric__CodingTestScore,0.007633232582233628
categorical__HistoryOfBacklogs_Yes,0.006158699792628964
numeric__Certifications,0.005357401490538515
numeric__CGPA,0.004839143633533649
categorical__CGPA_Tier_High,0.0041592842615633015
numeric__SGPA_Sem7,0.0025305239302703285
numeric__AptitudeTestScore,0.000994914606619491
numeric__AttendancePercent,0.0008636916545829812
numeric__SGPA_Sem6,0.0006700899425481229
numeric__SGPA_Sem3,0.00019788966108771135
categorical__CollegeTier_Tier1,2.514043621540455e-05
categorical__CollegeTier_Tier3,0.0
categorical__CGPA_Tier_Low,0.0
categorical__Hostel_Yes,0.0
categorical__Hostel_No,0.0
categorical__Specialisation_Networking,0.0
categorical__Specialisation_Embedded,0.0
categorical__Specialisation_DataScience,0.0
categorical__Specialisation_AI,0.0
categorical__Stream_Mechanical,0.0
categorical__Stream_IT,0.0
categorical__Stream_EE,0.0
categorical__Stream_ECE,0.0
categorical__Stream_Civil,0.0
categorical__Stream_CS,0.0
numeric__SGPA_Sem1,0.0
categorical__City_Hyderabad,0.0
categorical__CollegeTier_Tier2,0.0
categorical__City_Pune,0.0
numeric__SGPA_Sem4,0.0
numeric__Workshops,0.0
numeric__Publications,0.0
numeric__ExtraCurricular,0.0
categorical__Gender_Female,0.0
categorical__Gender_Male,0.0
categorical__City_Ahmedabad,0.0
categorical__City_Bangalore,0.0
categorical__City_Chennai,0.0
categorical__City_Delhi,0.0
numeric__SGPA_Sem2,0.0
categorical__City_Jaipur,0.0
categorical__City_Kochi,0.0
categorical__City_Kolkata,0.0
categorical__City_Mumbai,0.0
categorical__CGPA_Tier_Mid,0.0
