Feature,Importance
numeric__Salary Package,0.37540865146905855
numeric__SGPA_Sem6,0.07773826221305673
numeric__SGPA_Sem7,0.0729309058958124
numeric__SGPA_Sem8,0.062431744651563974
categorical__CGPA_Tier_Low,0.048119013894096715
numeric__SGPA_Sem4,0.04731279833835266
numeric__SGPA_Sem5,0.04238390305814256
numeric__MockInterviewScore,0.03624042568177875
numeric__CodingTestScore,0.02966269206576272
numeric__CGPA,0.02728811876681953
numeric__Projects,0.026467173767253837
numeric__SGPA_Sem3,0.02372656529415417
numeric__AptitudeTestScore,0.02199416288042168
numeric__SoftSkillsRating,0.02109672307178571
numeric__Certifications,0.01529505398542475
numeric__SGPA_Sem1,0.014807190739424065
numeric__Internships,0.014398331922203807
categorical__HistoryOfBacklogs_No,0.006971156277332749
numeric__AttendancePercent,0.006540251845761913
categorical__HistoryOfBacklogs_Yes,0.005867450466215045
numeric__SGPA_Sem2,0.005544687255043233
numeric__Publications,0.004700403602362576
categorical__CGPA_Tier_High,0.003980337372174804
numeric__Workshops,0.003060663764212897
categorical__CollegeTier_Tier3,0.0012511193691840264
categorical__CGPA_Tier_Mid,0.0012217789608451322
categorical__CollegeTier_Tier1,0.0008729733763526288
numeric__StudentID,0.0006511893156661167
numeric__IsAnomaly,0.0004718808108334523
categorical__CollegeTier_Tier2,0.0001716962219391241
numeric__ExtraCurricular,0.00011633795281526188
categorical__Stream_CS,0.00011133633817261393
categorical__Gender_Male,8.950781978280515e-05
categorical__Hostel_No,8.595745718207359e-05
categorical__Specialisation_DataScience,8.008111819198834e-05
categorical__Gender_Female,7.534380718413668e-05
categorical__Specialisation_AI,7.317385977661549e-05
categorical__Hostel_Yes,7.26040740598553e-05
categorical__City_Bangalore,5.7318398892695326e-05
categorical__Specialisation_Embedded,5.386327109221713e-05
categorical__Stream_Mechanical,5.222436335413476e-05
categorical__City_Hyderabad,4.9799876351225706e-05
categorical__Specialisation_Networking,4.5295989382874746e-05
categorical__City_Kolkata,4.2267020146671786e-05
categorical__Stream_EE,4.120729928359871e-05
categorical__Stream_ECE,4.040830273707057e-05
categorical__City_Jaipur,4.032615125106607e-05
categorical__City_Pune,3.874193540622265e-05
categorical__Stream_IT,3.723167386609933e-05
categorical__City_Mumbai,3.7201203429064804e-05
categorical__City_Delhi,3.4963068183486584e-05
categorical__Stream_Civil,3.415947394945932e-05
categorical__City_Kochi,3.354888342616059e-05
categorical__City_Ahmedabad,2.78935555583836e-05
categorical__City_Chennai,2.1900773487708806e-05
